Result,Margin,BR,Toss,Bat,Opposition,Ground,Start Date
draw,-,-,lost,1st,TestvWestIndies,Bridgetown,28Jun2011
draw,-,-,won,2nd,TestvWestIndies,Roseau,6Jul2011
lost,196runs,-,won,2nd,TestvEngland,Lord's,21Jul2011
lost,319runs,-,won,2nd,TestvEngland,Nottingham,29Jul2011
lost,inns&242runs,-,lost,1st,TestvEngland,Birmingham,10Aug2011
lost,inns&8runs,-,lost,2nd,TestvEngland,TheOval,18Aug2011
lost,6wickets,3,won,1st,T20IvEngland,Manchester,31Aug2011
n/r,-,-,lost,1st,ODIvEngland,Chester-le-Street,3Sep2011
lost,7wickets,5,lost,1st,ODIvEngland,Southampton,6Sep2011
lost,3wickets,7,lost,1st,ODIvEngland,TheOval,9Sep2011
tied,-,-,lost,1st,ODIvEngland,Lord's,11Sep2011
lost,6wickets,10,lost,1st,ODIvEngland,Cardiff,16Sep2011
won,126runs,-,won,1st,ODIvEngland,Hyderabad(Deccan),14Oct2011
won,8wickets,80,lost,2nd,ODIvEngland,Delhi,17Oct2011
won,5wickets,4,lost,2nd,ODIvEngland,Mohali,20Oct2011
won,6wickets,59,lost,2nd,ODIvEngland,Mumbai,23Oct2011
won,95runs,-,lost,1st,ODIvEngland,Kolkata,25Oct2011
lost,6wickets,8,won,1st,T20IvEngland,Kolkata,29Oct2011
won,5wickets,-,lost,2nd,TestvWestIndies,Delhi,6Nov2011
won,inns&15runs,-,won,1st,TestvWestIndies,Kolkata,14Nov2011
draw,-,-,lost,2nd,TestvWestIndies,Mumbai,22Nov2011
won,1wickets,7,won,2nd,ODIvWestIndies,Cuttack,29Nov2011
won,5wickets,11,won,2nd,ODIvWestIndies,Visakhapatnam,2Dec2011
lost,16runs,-,won,2nd,ODIvWestIndies,Ahmedabad,5Dec2011
won,153runs,-,won,1st,ODIvWestIndies,Indore,8Dec2011
won,34runs,-,won,1st,ODIvWestIndies,Chennai,11Dec2011
lost,122runs,-,lost,2nd,TestvAustralia,Melbourne,26Dec2011
lost,inns&68runs,-,won,1st,TestvAustralia,Sydney,3Jan2012
lost,inns&37runs,-,lost,1st,TestvAustralia,Perth,13Jan2012
lost,298runs,-,lost,2nd,TestvAustralia,Adelaide,24Jan2012
lost,31runs,-,won,2nd,T20IvAustralia,Sydney,1Feb2012
won,8wickets,2,lost,2nd,T20IvAustralia,Melbourne,3Feb2012
lost,65runs,-,won,2nd,ODIvAustralia,Melbourne,5Feb2012
won,4wickets,20,lost,2nd,ODIvSriLanka,Perth,8Feb2012
won,4wickets,2,lost,2nd,ODIvAustralia,Adelaide,12Feb2012
tied,-,-,lost,2nd,ODIvSriLanka,Adelaide,14Feb2012
